"","skim_type","skim_variable","n_missing","complete_rate","character.min","character.max","character.empty","character.n_unique","character.whitespace","numeric.mean","numeric.sd","numeric.p0","numeric.p25","numeric.p50","numeric.p75","numeric.p100","numeric.hist"
"1","character","CodigoCL",0,1,3,8,0,100819,0,NA,NA,NA,NA,NA,NA,NA,NA
"2","character","puente_vh",99809,0.0100179529652149,9,9,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"3","character","Puente_PT",100138,0.00675467917753603,8,8,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"4","character","sent_vial",0,1,3,5,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
"5","character","Etiquetas",68909,0.316507801108918,3,8,0,31910,0,NA,NA,NA,NA,NA,NA,NA,NA
"6","character","Etiqueta_1",82146,0.18521310467273,4,8,0,18673,0,NA,NA,NA,NA,NA,NA,NA,NA
"7","character","geometry",0,1,146,102781,0,100819,0,NA,NA,NA,NA,NA,NA,NA,NA
"8","numeric","FID_EP_IND",0,1,NA,NA,NA,NA,NA,50419.7350003256,29108.4226274276,0,25213.5,50418,75628.5,100840,"▇▇▇▇▇"
"9","numeric","CODIGO_IDE",0,1,NA,NA,NA,NA,NA,10123471.1875233,5654381.78146258,0,7000231.5,10001709,14000265.5,50009620,"▇▇▁▁▁"
"10","numeric","area",0,1,NA,NA,NA,NA,NA,856.135352011155,1732.55104844517,2.69400181319e-05,245.8578802485,483.283495878,913.401255082,221177.878376,"▇▁▁▁▁"
"11","numeric","arboles",0,1,NA,NA,NA,NA,NA,3.96951963419594,17.5028940380585,0,0,0,3,2155,"▇▁▁▁▁"
"12","numeric","AVE_pendie",0,1,NA,NA,NA,NA,NA,3.02760775052317,4.87627456372524,0,0.2312,0.6178,3.7293,39.8728,"▇▁▁▁▁"
"13","numeric","A_Calzada",0,1,NA,NA,NA,NA,NA,481.828150553334,808.987503506601,-1.00000008274e-11,163.753997245,295.800475149,535.1630484935,88474.4336637,"▇▁▁▁▁"
"14","numeric","P_Ancho_Cl",0,1,NA,NA,NA,NA,NA,6.18806975858644,2.85804254769365,0,4.54,6.14,7.51,326.51,"▇▁▁▁▁"
"15","numeric","A_separado",0,1,NA,NA,NA,NA,NA,76.1152240306523,752.983477660625,-3.57999965672e-07,0,0,0,112610.48317,"▇▁▁▁▁"
"16","numeric","A_andenes",0,1,NA,NA,NA,NA,NA,274.600865204756,409.283235041074,-1.11000076686e-07,62.0830794677,169.651948751,348.5374946285,20018.2262571,"▇▁▁▁▁"
"17","numeric","Rutas_TRM",0,1,NA,NA,NA,NA,NA,0.320138069213144,3.19196012064212,0,0,0,0,115,"▇▁▁▁▁"
"18","numeric","Rutas_SITP",0,1,NA,NA,NA,NA,NA,2.62208512284391,10.1780427177625,0,0,0,0,316,"▇▁▁▁▁"
"19","numeric","Parad_SITP",0,1,NA,NA,NA,NA,NA,0.0638966861405092,0.320288359418941,0,0,0,0,19,"▇▁▁▁▁"
"20","numeric","Caril_SITP",0,1,NA,NA,NA,NA,NA,0.00694313571846577,0.0838681171033398,0,0,0,0,2,"▇▁▁▁▁"
"21","numeric","largo_cicl",0,1,NA,NA,NA,NA,NA,5.12586902690604,33.9118530969268,0,0,0,0,1809.3294138,"▇▁▁▁▁"
"22","numeric","sen_horizo",0,1,NA,NA,NA,NA,NA,0.958420535811702,3.64637835318607,0,0,0,0,338,"▇▁▁▁▁"
"23","numeric","se_hor_seg",0,1,NA,NA,NA,NA,NA,0.47652724188893,1.70035348823115,0,0,0,0,75,"▇▁▁▁▁"
"24","numeric","sen_vert",0,1,NA,NA,NA,NA,NA,1.59799244190083,3.23835806845696,0,0,0,2,150,"▇▁▁▁▁"
"25","numeric","semaforo",0,1,NA,NA,NA,NA,NA,0.014362372171912,0.122187995392602,0,0,0,0,2,"▇▁▁▁▁"
"26","numeric","segme_via",0,1,NA,NA,NA,NA,NA,1.20305696346919,1.03234320199139,0,1,1,1,42,"▇▁▁▁▁"
"27","numeric","velcidad",0,1,NA,NA,NA,NA,NA,19.4709330582529,14.7737738225216,0,0,30,30,50,"▅▁▇▁▁"
"28","numeric","sum_carril",0,1,NA,NA,NA,NA,NA,2.3188684672532,2.59186398126186,0,2,2,2,113,"▇▁▁▁▁"
"29","numeric","av_carrile",0,1,NA,NA,NA,NA,NA,1.7701921264841,0.670927446762907,0,1,2,2,6,"▃▇▁▁▁"
"30","numeric","sini_total",0,1,NA,NA,NA,NA,NA,1.86249615647844,8.9695608655688,0,0,0,1,603,"▇▁▁▁▁"
"31","numeric","sini_herid",0,1,NA,NA,NA,NA,NA,0.62754044376556,2.64778017591656,0,0,0,0,102,"▇▁▁▁▁"
"32","numeric","sini_muert",0,1,NA,NA,NA,NA,NA,0.0307878475287396,0.233958542964504,0,0,0,0,14,"▇▁▁▁▁"
"33","numeric","sini_solod",0,1,NA,NA,NA,NA,NA,1.20416786518414,6.6080964376612,0,0,0,0,510,"▇▁▁▁▁"
"34","numeric","si_act_Tot",0,1,NA,NA,NA,NA,NA,3.66302978605223,17.6822228267665,0,0,0,2,1140,"▇▁▁▁▁"
"35","numeric","si_act_pea",0,1,NA,NA,NA,NA,NA,0.204405915551632,0.946324779717629,0,0,0,0,46,"▇▁▁▁▁"
"36","numeric","si_act_cic",0,1,NA,NA,NA,NA,NA,0.113450837639731,0.615648507154003,0,0,0,0,42,"▇▁▁▁▁"
"37","numeric","sin_veh_to",0,1,NA,NA,NA,NA,NA,3.22336067606304,16.0876809132293,0,0,0,2,1076,"▇▁▁▁▁"
"38","numeric","si_veh_bic",0,1,NA,NA,NA,NA,NA,0.113450837639731,0.615648507154003,0,0,0,0,42,"▇▁▁▁▁"
"39","numeric","sen_v_inv",0,1,NA,NA,NA,NA,NA,0.510251043950049,1.4128106728666,0,0,0,0,55,"▇▁▁▁▁"
"40","numeric","s_pare_inv",0,1,NA,NA,NA,NA,NA,0.116485979825231,0.394948019259464,0,0,0,0,7,"▇▁▁▁▁"
"41","numeric","comp_cl",0,1,NA,NA,NA,NA,NA,3.07004632063401,53.1910990340806,0,0,0,0,9551,"▇▁▁▁▁"
"42","numeric","OID_",0,1,NA,NA,NA,NA,NA,5049.72371279223,9051.18089258555,0,0,0,6704.5,31909,"▇▁▁▁▁"
"43","numeric","Administra",0,1,NA,NA,NA,NA,NA,0.784961168033737,9.49113124552393,0,0,0,0,1080,"▇▁▁▁▁"
"44","numeric","not_resp_p",0,1,NA,NA,NA,NA,NA,0.0374631765837775,0.803698511759939,0,0,0,0,133,"▇▁▁▁▁"
"45","numeric","under_infl",0,1,NA,NA,NA,NA,NA,0.010553566292072,0.805321445964544,0,0,0,0,240,"▇▁▁▁▁"
"46","numeric","Mobile_pho",0,1,NA,NA,NA,NA,NA,0.0777829575774293,0.663968428571625,0,0,0,0,93,"▇▁▁▁▁"
"47","numeric","NO_DATA",0,1,NA,NA,NA,NA,NA,0.0190737856951562,0.380654628112387,0,0,0,0,38,"▇▁▁▁▁"
"48","numeric","traffic_si",0,1,NA,NA,NA,NA,NA,0.972951526994041,13.116437684036,0,0,0,0,1348,"▇▁▁▁▁"
"49","numeric","Not_Stoppi",0,1,NA,NA,NA,NA,NA,0.0452494073537705,0.729725888998478,0,0,0,0,102,"▇▁▁▁▁"
"50","numeric","safety_dev",0,1,NA,NA,NA,NA,NA,0.0660589769785572,0.773374391293375,0,0,0,0,99,"▇▁▁▁▁"
"51","numeric","Parking_Vi",0,1,NA,NA,NA,NA,NA,1.10039774248885,7.49784483311886,0,0,0,0,1221,"▇▁▁▁▁"
"52","numeric","Pedest_Bic",0,1,NA,NA,NA,NA,NA,0.440264235907942,5.64225128975286,0,0,0,0,702,"▇▁▁▁▁"
"53","numeric","driving_be",0,1,NA,NA,NA,NA,NA,0.246987175036512,3.29824833319869,0,0,0,0,395,"▇▁▁▁▁"
"54","numeric","Smoking_dr",0,1,NA,NA,NA,NA,NA,0.00575288388101365,0.0872033774800013,0,0,0,0,6,"▇▁▁▁▁"
"55","numeric","Speeding",0,1,NA,NA,NA,NA,NA,0.584453327249486,43.7035415096103,0,0,0,0,9340,"▇▁▁▁▁"
"56","numeric","tehcnical",0,1,NA,NA,NA,NA,NA,0.239984526726119,2.8330813964908,0,0,0,0,280,"▇▁▁▁▁"
"57","numeric","Total_gene",0,1,NA,NA,NA,NA,NA,4.63193445679903,59.1248811448697,0,0,0,1,9564,"▇▁▁▁▁"
"58","numeric","X1_girar_iz",0,1,NA,NA,NA,NA,NA,0.0109999107311142,0.130494122826698,0,0,0,0,6,"▇▁▁▁▁"
"59","numeric","X2_ciclov.",0,1,NA,NA,NA,NA,NA,0.00570329005445383,0.0874905224781529,0,0,0,0,5,"▇▁▁▁▁"
"60","numeric","X3bus_o_Tra",0,1,NA,NA,NA,NA,NA,0.0193614298892041,0.197843079927583,0,0,0,0,18,"▇▁▁▁▁"
"61","numeric","X4peatonale",0,1,NA,NA,NA,NA,NA,0.0196193177873248,0.187309730459718,0,0,0,0,8,"▇▁▁▁▁"
"62","numeric","X5policiasa",0,1,NA,NA,NA,NA,NA,0.000972039000584967,0.0405658292676401,0,0,0,0,5,"▇▁▁▁▁"
"63","numeric","X6pare",0,1,NA,NA,NA,NA,NA,0.122417401481865,0.408103999631821,0,0,0,0,7,"▇▁▁▁▁"
"64","numeric","X7estaciona",0,1,NA,NA,NA,NA,NA,0.100824249397405,0.523487890362185,0,0,0,0,17,"▇▁▁▁▁"
"65","numeric","X8zonas_esc",0,1,NA,NA,NA,NA,NA,0.0447832253841093,0.265427470551617,0,0,0,0,8,"▇▁▁▁▁"
"66","numeric","X9ceder_el",0,1,NA,NA,NA,NA,NA,0.00403693748202275,0.0786320086446427,0,0,0,0,5,"▇▁▁▁▁"
"67","numeric","Total_ge_1",0,1,NA,NA,NA,NA,NA,0.328717801208093,0.912599050308835,0,0,0,0,19,"▇▁▁▁▁"
