an_var,gis_var,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
tr_sign_traffic_yn,gis_road_signs_inv_yn,0.86568065197706,0.35775057065781285,0.48096595673318804,0.7948363301060396,0.19860794596141798,0.010121518091131826,0.17877013503392902,0.21844575688890694,0.5864345316587043
tr_sign_traffic_yn,gis_total_st_signs_yn,0.8732553753300641,0.3344280240831965,0.3882274023142714,0.8450899031811895,0.15703429704644586,0.0095382989325783,0.13833957466481556,0.17572901942807617,0.582290627959663
tr_traffic_light_yn,gis_traffic_lights_yn,0.8505747126436781,0.887589928057554,0.25277540563620843,0.9925298089354978,0.3466202186749079,0.02019966336065346,0.3070296059881938,0.386210831361622,0.8124289989617053
tr_pedxwalk_yn,gis_pedxwalk_signs_yn,0.5075528700906344,0.6579925650557621,0.059238363892806775,0.9692220543806648,0.035805749995016116,0.014631027266849598,0.00712946349516741,0.06448203649486482,0.586855512533116
tr_sign_stop_yn,gis_stop_signs_yn,0.5443478260869565,0.7489258092237181,0.26313577133249266,0.9089170867373544,0.20277008720523731,0.014176428599459423,0.17498479772089326,0.23055537668958137,0.6142262280400546
tr_sign_stop_yn,gis_stop_signs2_yn,0.5372516556291391,0.7501444251877527,0.27280369903320717,0.9028333043629411,0.205264663463386,0.014080526213331496,0.17766733920188413,0.2328619877248879,0.6091171342210617
tr_sign_yield_yn,gis_yield_signs_yn,0.36585365853658536,0.9590062111801242,0.08333333333333327,0.993309315491508,0.12131347120360746,0.04388887543615327,0.03529285602678242,0.2073340863804325,0.6565759589375327
tr_sign_school_zone_yn,gis_school_zone_signs_yn,0.38551859099804303,0.8727201154704107,0.168808911739503,0.9549174443646805,0.1615163213607325,0.021473126982042186,0.11942976584047454,0.20360287688099044,0.6249886383962584
tr_sidewalk_yn,gis_sw,0.9702569295025946,0.35064935064935066,0.9808085977482088,0.2563291139240503,0.27227667999624394,0.03619962073400119,0.20132672710359223,0.34322663288889566,0.6669245040673613
tr_lane_bike_yn,gis_bike_lane,0.5445362718089991,0.9896350986795399,0.8903903903903898,0.9335654969193679,0.6391024429082284,0.014590701557291117,0.6105051933467653,0.6676996924696914,0.6823560559752101
tr_lane_bus_yn,gis_any_bus,0.45901639344262296,0.9703107309095483,0.2624999999999998,0.9873271889400922,0.314364267672318,0.03668057387175538,0.24247166395141656,0.38625687139321946,0.6297603168554007
tr_median_yn,gis_median,0.8449564134495642,0.9098988660741649,0.6976863753213368,0.95975432358170365,0.6992193161884332,0.009846937388597989,0.6799196735487603,0.7185189588281062,0.8785984714071663
tr_speed_bump_yn,gis_speed_bump_signs_yn,0.2857142857142857,0.8341956146834195,0.002962962962962962,0.9985255086994986,0.002465658450941451,0.02472783104655048,-0.04599999981608887,0.05093131671797178,0.5061257986986342
tr_trees_yn,gis_trees_yn,0.9185168738898757,0.6019845644983461,0.7412650062712776,0.8561348490787927,0.5359742074787575,0.009613402061061002,0.5171322856701748,0.5548161292873401,0.6782361898827539
tr_bus_stop_yn,gis_bus_stops_yn,0.7563600782778865,0.8950773558368496,0.5088874259381173,0.9623468924845001,0.5391801704192867,0.013686070789674928,0.5123559645816582,0.5660043762569151,0.7585428755641521
tr_parked_vehicles_yn,gis_parking_signs_yn,0.8360655737704918,0.22253013717611195,0.11998117942283563,0.9145785876993165,0.016250359180226662,0.006998464133003762,0.0025336215324439568,0.029967096828009368,0.5313451138705685
tr_lane_parking_yn,gis_parking_signs_yn,0.10163934426229508,0.9358459193570736,0.1672661870503598,0.8914994720168955,0.04523398191561732,0.024439756149611667,-0.002667059928562844,0.09313502375979749,0.5190769934126899
tr_brt_station_yn,gis_brt_yn,0.44819277108433736,0.9910587015679668,0.7294117647058824,0.9709280182810716,0.5372478178426087,0.026310762961742246,0.48567967003182344,0.5888159656533939,0.6613565856450107
