var,var_reference,sensitivity,specificity,ppv,npv,kappa_est,kappa_se,kappa_lower,kappa_upper,auc
an_traffic_li_yn,can_traffic_light_yn,0.3181818181818182,0.873015873015873,0.46666666666666673,0.7857142857142857,0.21327967806841047,0.14010151530748027,-0.06131424611373787,0.4878736022505588,0.5955988455988456
an_pedxwalk_yn,can_crosswalk_yn,0.4375,0.7358490566037735,0.4999999999999999,0.6842105263157895,0.17775090689238207,0.11477753301169806,-0.047208924044903205,0.4027107378296674,0.5866745283018868
an_sign_stop_yn,can_stop_sign_yn,0.2222222222222222,0.925,0.7692307692307693,0.5138888888888888,0.14095744680851066,0.10362447546257408,-0.06214279301498907,0.3440576866320104,0.5736111111111112
an_sign_schoo_yn,can_school_zone_yn,0.6,0.925,0.3333333333333335,0.9736842105263157,0.38181818181818183,0.20802097796310656,-0.025895443018307207,0.7895318066546708,0.7625000000000001
an_sidewalk_yn,can_sidewalk_yn,0.9759036144578314,1,1,0.5000000000000007,0.6558704453441293,0.24045652024937855,0.1845843258075212,1.1271565648807373,0.9879518072289157
an_lane_bike_yn,can_bike_lane_yn,0.5,0.9130434782608695,0.5714285714285713,0.8873239436619719,0.43387250237868696,0.13828336633831947,0.1628420846946224,0.7049029200627515,0.7065217391304347
an_lane_bus_yn,can_transit_lane_yn,0.25,0.961038961038961,0.3999999999999999,0.925,0.2536585365853659,0.23524134201845998,-0.20740602144568443,0.7147230946164163,0.6055194805194806
an_median_yn,can_median_yn,0.7777777777777778,0.7,0.7446808510638298,0.736842105263158,0.4791086350974931,0.09560852747607963,0.29171936462946885,0.6664979055655174,0.7388888888888888
an_speed_bump_yn,can_speed_bump_yn,0.2916666666666667,0.9180327868852459,0.5833333333333334,0.767123287671233,0.24718196457326908,0.1381781858450587,-0.02364230313212823,0.5180062322786664,0.6048497267759563
an_trees_yn,can_tree_yn,0.9629629629629629,0.25,0.9629629629629629,0.24999999999999997,0.21296296296296327,0.30975878191281014,-0.3941530934811416,0.8200790194070681,0.6064814814814814
